Mtest4,false,1527501600658
SoundWindow0,71.00969382005044,1527501773864
SoundWindow1,60.144577317647745,1527501773866
Mtest3,true,1527501774346
sensor0_Temperature,26.48,1527501775374
sensor0_Humidity,43.37600140415982,1527501775375
sensor0_Brightness,67.0,1527501775375
sensor1_Temperature,24.25,1527501775376
sensor1_Humidity,44.36256044896643,1527501775377
sensor1_Brightness,53.0,1527501775377
tiltTest_Pitch,3.09,1527501775903
tiltTest_Roll,-0.75,1527501775903
SoundCenter0,70.63063458221066,1527501776174
SoundCenter1,73.91319049741413,1527501776176
SoundCenter2,65.99418357880606,1527501776176
Mtest5,false,1527501776903
SoundWall0,68.75724520114706,1527501776922
SoundWall1,70.86561897795774,1527501776930
SoundWall2,68.69320729635446,1527501776947
SoundC,71.42349921662418,1527501779142
SoundC,71.42349921662418,1527501779142
Present,210,1527501779144
Present,210,1527501779144
sensor0_Temperature,26.48,1527501781672
sensor0_Humidity,43.37600140415982,1527501781672
sensor0_Brightness,67.0,1527501781673
sensor1_Temperature,24.25,1527501781673
sensor1_Humidity,44.36256044896643,1527501781674
sensor1_Brightness,53.0,1527501781674
SoundWindow0,70.90978981861436,1527501783864
SoundWindow1,59.83839117355346,1527501783868
Mtest1,true,1527501784904
SoundCenter0,69.79703238539,1527501786174
SoundCenter1,73.1852802510721,1527501786176
SoundCenter2,65.2475573923604,1527501786176
seat5BOccupied,true,1527501786225
totalSeatCount,7,1527501786225
Mtest8,true,1527501786225
Mtest2,false,1527501786225
SoundWall0,68.66067625992315,1527501786922
SoundWall1,71.03305783743126,1527501786931
SoundWall2,68.32567788837682,1527501786944
sensor0_Temperature,26.48,1527501787977
sensor0_Humidity,43.37600140415982,1527501787978
sensor0_Brightness,67.0,1527501787978
sensor1_Temperature,24.25,1527501787979
sensor1_Humidity,44.36256044896643,1527501787980
sensor1_Brightness,53.0,1527501787980
tiltAircon1_Pitch,-154.31,1527501788955
tiltAircon1_Roll,177.34,1527501788955
SoundC,71.42349921662418,1527501789149
SoundC,71.42349921662418,1527501789149
Present,120,1527501789151
Present,120,1527501789151
SoundWindow0,70.8477274396892,1527501793864
SoundWindow1,59.615286610570514,1527501793868
sensor0_Temperature,26.48,1527501794288
sensor0_Humidity,43.37600140415982,1527501794289
sensor0_Brightness,67.0,1527501794289
sensor1_Temperature,24.25,1527501794290
sensor1_Humidity,44.36256044896643,1527501794291
sensor1_Brightness,53.0,1527501794292
SoundCenter0,69.96869674740711,1527501796174
SoundCenter1,72.91982471264701,1527501796176
SoundCenter2,64.91610886020518,1527501796176
SoundWall0,68.38762413425906,1527501796922
SoundWall1,70.68432000493686,1527501796931
SoundWall2,68.1082368851706,1527501796944
Mtest6,true,1527501796955
Mtest5,true,1527501797955
Aircon1Power,On,1527501799129
SoundC,74.19700410241327,1527501799156
SoundC,74.19700410241327,1527501799156
Present,163,1527501799159
Present,163,1527501799159
tiltAircon0_Pitch,-147.83,1527501799595
tiltAircon0_Roll,178.98,1527501799595
sensor0_Temperature,26.48,1527501800580
sensor0_Humidity,43.37600140415982,1527501800581
sensor0_Brightness,67.0,1527501800583
sensor1_Temperature,24.25,1527501800584
sensor1_Humidity,44.36256044896643,1527501800585
sensor1_Brightness,53.0,1527501800586
ProjectorPower,On,1527501803569
TurnOnProjector,null,1527501803570
seat2BOccupied,false,1527501803595
